error,validation,lr
1.720481,1.704604,0.000997
1.633501,1.653784,0.000995
1.581447,1.610868,0.000992
1.530089,1.581331,0.000989
1.488486,1.548429,0.000987
1.449939,1.504160,0.000984
1.412851,1.479507,0.000981
1.380999,1.453821,0.000979
1.347196,1.440207,0.000976
1.321324,1.418253,0.000974
1.291476,1.388311,0.000971
1.269571,1.366980,0.000969
1.245612,1.350527,0.000966
1.225610,1.340850,0.000964
1.203394,1.331198,0.000961
1.182154,1.313094,0.000959
1.163157,1.314179,0.000956
1.145839,1.270843,0.000954
1.118868,1.262686,0.000951
1.104460,1.242525,0.000949
1.084419,1.232103,0.000946
1.069433,1.232449,0.000944
1.050673,1.203010,0.000942
1.036199,1.195900,0.000939
1.017821,1.172341,0.000937
1.002177,1.159145,0.000934
0.987064,1.164387,0.000932
0.973974,1.148439,0.000930
0.959980,1.119717,0.000927
0.942268,1.123679,0.000925
0.930863,1.124889,0.000923
0.917206,1.100710,0.000920
0.906919,1.093779,0.000918
0.893357,1.088483,0.000916
0.880291,1.060253,0.000914
0.866664,1.070708,0.000911
0.856966,1.067220,0.000909
0.848400,1.044021,0.000907
0.837557,1.036817,0.000905
0.824711,1.027885,0.000903
0.816104,1.021781,0.000900
0.804764,1.009285,0.000898
0.800002,0.998436,0.000896
0.788235,0.994824,0.000894
0.779166,0.983089,0.000892
0.770335,0.974980,0.000890
0.756982,0.970122,0.000887
0.751552,0.961954,0.000885
0.743682,0.964838,0.000883
0.738540,0.971113,0.000881
0.728928,0.947637,0.000879
0.717882,0.949335,0.000877
0.712442,0.925549,0.000875
0.708826,0.921695,0.000873
0.697249,0.917424,0.000871
0.691125,0.926840,0.000869
0.682711,0.902477,0.000867
0.673950,0.917159,0.000865
0.667573,0.908926,0.000863
0.662890,0.913154,0.000861
0.659691,0.896561,0.000859
0.652205,0.900611,0.000857
0.645667,0.884124,0.000855
0.639881,0.872030,0.000853
0.635806,0.880684,0.000851
0.627877,0.869033,0.000849
0.621694,0.874215,0.000847
0.617368,0.867681,0.000845
0.612028,0.875974,0.000843
0.608502,0.861002,0.000841
0.599375,0.865754,0.000839
0.598250,0.851048,0.000837
0.592326,0.850960,0.000835
0.585333,0.843871,0.000833
